Company,Symbol,companyLow,charLength,companyFinal
Keurig Green Mountain ,GMCR,keurig green mountain ,3,keurig green mountain
Kewaunee Scientific Corporation,KEQU,kewaunee scientific corporation,3,kewaunee scientific corporation
Key Technology ,KTEC,key technology ,2,key technology
Key Tronic Corporation,KTCC,key tronic corporation,3,key tronic corporation
Keynote LLC,KEYN,keynote llc,2,keynote llc
Kforce ,KFRC,kforce ,1,kforce
Kimball Electronics ,KE,kimball electronics ,2,kimball electronics
Kimball International ,KBAL,kimball international ,2,kimball international
Kimball International ,KBALV,kimball international ,2,kimball international
Kindred Biosciences ,KIN,kindred biosciences ,2,kindred biosciences
KineMed ,KNMD,kinemed ,1,kinemed
Kingold Jewelry ,KGJI,kingold jewelry ,2,kingold jewelry
Kingstone Companies ,KINS,kingstone companies ,2,kingstone companies
Kingtone Wirelessinfo Solutions Hldg ,KONE,kingtone wirelessinfo solutions hldg ,4,kingtone wirelessinfo solutions
Kinsale Capital Group ,KNSL,kinsale capital group ,3,kinsale capital group
Kirkland's ,KIRK,kirkland's ,1,kirkland's
Kite Pharma ,KITE,kite pharma ,2,kite pharma
Kitov Pharmaceuticals Holdings  (ADR),KTOV,kitov pharmaceuticals holdings  (adr),4,kitov pharmaceuticals holdings
Knology  (Inactive),KNOL,knology  (inactive),2,knology (inactive)
Kofax ,KFX,kofax ,1,kofax
Kona Grill ,KONA,kona grill ,2,kona grill
KongZhong Corporation (ADR),KZ,kongzhong corporation (adr),3,kongzhong corporation (adr)
