Company,Symbol,companyLow,charLength,companyFinal
Kopin Corporation,KOPN,kopin corporation,2,kopin corporation
Kornit Digital ,KRNT,kornit digital ,2,kornit digital
Koss Corporation,KOSS,koss corporation,2,koss corporation
Kraft Foods Group ,KRFT,kraft foods group ,3,kraft foods group
Kraft Heinz Co,KHC,kraft heinz co,3,kraft heinz co
KraneShares Trust,KWEB,kraneshares trust,2,kraneshares trust
Kratos Defense & Security Solutions ,KTOS,kratos defense & security solutions ,5,kratos defense &
Ku6 Media Co  (ADR),KUTV,ku6 media co  (adr),4,ku6 media co
Kulicke and Soffa Industries ,KLIC,kulicke and soffa industries ,4,kulicke and soffa
Kura Oncology ,KURA,kura oncology ,2,kura oncology
Kythera Biopharmaceuticals ,KYTH,kythera biopharmaceuticals ,2,kythera biopharmaceuticals
L.B. Foster Co,FSTR,l.b. foster co,3,l.b. foster co
LCAVision  (Inactive),LCAV,lcavision  (inactive),2,lcavision (inactive)
LCNB Corp.,LCNB,lcnb corp.,2,lcnb corp.
LDR Holding Corp,LDRH,ldr holding corp,3,ldr holding corp
LGI Homes ,LGIH,lgi homes ,2,lgi homes
LHC Group ,LHCG,lhc group ,2,lhc group
LKQ Corporation,LKQ,lkq corporation,2,lkq corporation
LM Funding America ,LMFAU,lm funding america ,3,lm funding america
LM Funding America ,LMFA,lm funding america ,3,lm funding america
LMI Aerospace ,LMIA,lmi aerospace ,2,lmi aerospace
LML Payment Systems ,LMLP,lml payment systems ,3,lml payment systems
LNB Bancorp ,LNBB,lnb bancorp ,2,lnb bancorp
LPL Financial Holdings ,LPLA,lpl financial holdings ,3,lpl financial holdings
LRAD Corp,LRAD,lrad corp,2,lrad corp
LSB Financial Corp. (Inactive),LSBI,lsb financial corp. (inactive),4,lsb financial corp.
LSI Corp,LSI,lsi corp,2,lsi corp
LSI Industries ,LYTS,lsi industries ,2,lsi industries
La Jolla Pharmaceutical Company,LJPC,la jolla pharmaceutical company,4,la jolla pharmaceutical
LaCrosse Footwear  (Inactive),BOOT,lacrosse footwear  (inactive),3,lacrosse footwear
LaPorte Bancorp ,LPSB,laporte bancorp ,2,laporte bancorp
Lake Shore Bancorp ,LSBK,lake shore bancorp ,3,lake shore bancorp
Lake Sunapee Bank Group,LSBG,lake sunapee bank group,4,lake sunapee bank
Lakeland Bancorp ,LBAI,lakeland bancorp ,2,lakeland bancorp
Lakeland Financial Corporation,LKFN,lakeland financial corporation,3,lakeland financial corporation
Lakeland Industries ,LAKE,lakeland industries ,2,lakeland industries
Lam Research Corporation,LRCX,lam research corporation,3,lam research corporation
Lamar Advertising Company,LAMR,lamar advertising company,3,lamar advertising company
Lancaster Colony Corp.,LANC,lancaster colony corp.,3,lancaster colony corp.
Landcadia Holdings ,LCA,landcadia holdings ,2,landcadia holdings
Landcadia Holdings ,LCAHU,landcadia holdings ,2,landcadia holdings
Landec Corporation,LNDC,landec corporation,2,landec corporation
Landmark Bancorp ,LARK,landmark bancorp ,2,landmark bancorp
Landmark Infrastructure Partners LP,LMRKP,landmark infrastructure partners lp,4,landmark infrastructure partners
Landmark Infrastructure Partners LP,LMRK,landmark infrastructure partners lp,4,landmark infrastructure partners
Landmark Infrastructure Partners LP  Preferred Units,LMRKO,landmark infrastructure partners lp  preferred units,6,landmark infrastructure partners
Lands' End ,LE,lands' end ,2,lands' end
Landstar System ,LSTR,landstar system ,2,landstar system
Lantheus Holdings ,LNTH,lantheus holdings ,2,lantheus holdings
Lantronix ,LTRX,lantronix ,1,lantronix
Lattice Semiconductor Corp,LSCC,lattice semiconductor corp,3,lattice semiconductor corp
Laureate Education ,LAUR,laureate education ,2,laureate education
Lawson Products ,LAWS,lawson products ,2,lawson products
Layne Christensen Company,LAYN,layne christensen company,3,layne christensen company
Le Gaga Holdings  ADR,GAGA,le gaga holdings  adr,4,le gaga holdings
LeMaitre Vascular ,LMAT,lemaitre vascular ,2,lemaitre vascular
Leading Brands  (USA),LBIX,leading brands  (usa),3,leading brands
Leap Therapeutics ,LPTX,leap therapeutics ,2,leap therapeutics
Leap Wireless International  (Inactive),LEAP,leap wireless international  (inactive),4,leap wireless international
Legacy Reserves LP,LGCYP,legacy reserves lp,3,legacy reserves lp
Legacy Reserves LP,LGCYO,legacy reserves lp,3,legacy reserves lp
Legacy Reserves LP,LGCY,legacy reserves lp,3,legacy reserves lp
LegacyTexas Financial Group ,LTXB,legacytexas financial group ,3,legacytexas financial group
Lendingtree ,TREE,lendingtree ,1,lendingtree
Lexicon Pharmaceuticals ,LXRX,lexicon pharmaceuticals ,2,lexicon pharmaceuticals
LiNiu Technology Group,LINU,liniu technology group,3,liniu technology group
Lianluo Smart ,LLIT,lianluo smart ,2,lianluo smart
Liberty Tax ,TAX,liberty tax ,2,liberty tax
Liberty Tripadvisor Holdings ,LTRPB,liberty tripadvisor holdings ,3,liberty tripadvisor holdings
Liberty Tripadvisor Holdings ,LTRPA,liberty tripadvisor holdings ,3,liberty tripadvisor holdings
LifePoint Health ,LPNT,lifepoint health ,2,lifepoint health
LifeVantage Corp,LFVN,lifevantage corp,2,lifevantage corp
Lifetime Brands ,LCUT,lifetime brands ,2,lifetime brands
Lifeway Foods ,LWAY,lifeway foods ,2,lifeway foods
Ligand Pharmaceuticals ,LGND,ligand pharmaceuticals ,2,ligand pharmaceuticals
LightPath Technologies ,LPTH,lightpath technologies ,2,lightpath technologies
Lightbridge Corp,LTBR,lightbridge corp,2,lightbridge corp
Limbach Holdings ,LMB,limbach holdings ,2,limbach holdings
Limelight Networks ,LLNW,limelight networks ,2,limelight networks
Limoneira Company,LMNR,limoneira company,2,limoneira company
L Logistics Co,LLGX,l logistics co,3,l logistics co
Lare Holdings  (Inactive),LNCR,lare holdings  (inactive),3,lare holdings
Loln Educational Services Corp,L,loln educational services corp,4,loln educational services
Loln Electric Holdings ,LECO,loln electric holdings ,3,loln electric holdings
Lindblad Expeditions Holdings ,LIND,lindblad expeditions holdings ,3,lindblad expeditions holdings
Linear Technology Corporation,LLTC,linear technology corporation,3,linear technology corporation
Lion Biotechnologies ,LBIO,lion biotechnologies ,2,lion biotechnologies
Lionbridge Technologies ,LIOX,lionbridge technologies ,2,lionbridge technologies
LipoScience ,LPDX,liposcience ,1,liposcience
Lipocine ,LPCN,lipocine ,1,lipocine
Liquidity Services ,LQDT,liquidity services ,2,liquidity services
Littelfuse ,LFUS,littelfuse ,1,littelfuse
LivaNova ,LIVN,livanova ,1,livanova
Live Oak Bancshares ,LOB,live oak bancshares ,3,live oak bancshares
Live Ventures ,LIVE,live ventures ,2,live ventures
LivePerson ,LPSN,liveperson ,1,liveperson
